[2018-05-17 05:41:51] slim.WARNING: Token not found [] []
[2018-05-17 05:42:47] slim.WARNING: Token not found [] []
[2018-05-17 05:46:05] slim.WARNING: Token not found [] []
[2018-05-17 05:46:58] slim.DEBUG: Using token from environment [] []
[2018-05-17 05:48:02] slim.DEBUG: Using token from environment [] []
[2018-05-17 05:48:07] slim.WARNING: Token not found [] []
[2018-05-17 05:48:24] slim.DEBUG: Using token from environment [] []
[2018-05-17 05:48:25] slim.DEBUG: Using token from environment [] []
[2018-05-17 05:48:39] slim.WARNING: Token not found [] []
[2018-05-17 05:49:01] slim.DEBUG: Using token from environment [] []
[2018-05-17 05:53:32] slim.DEBUG: Using token from environment [] []
[2018-05-17 05:54:21] slim.DEBUG: Using token from environment [] []
[2018-05-17 05:54:26] slim.DEBUG: Using token from environment [] []
[2018-05-17 05:54:51] slim.DEBUG: Using token from environment [] []
[2018-05-17 05:55:37] slim.DEBUG: Using token from environment [] []
[2018-05-17 05:55:52] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:02:56] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:02:56] slim.WARNING: Expired token ["eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1MjY1MzU5ODIsImV4cCI6MTUyNjUzNjg4MiwianRpIjoiM3k5R3hmSkJuUVg1OUZnNTl3NGEyayIsInN1YiI6ImJ1dV9wcm9maWxlIn0.tiPuSChDI25hHZcijXP90uTO7qzIAyOWr1WmXWJAJHA"] []
[2018-05-17 06:03:01] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:03:01] slim.WARNING: Expired token ["eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1MjY1MzU5ODIsImV4cCI6MTUyNjUzNjg4MiwianRpIjoiM3k5R3hmSkJuUVg1OUZnNTl3NGEyayIsInN1YiI6ImJ1dV9wcm9maWxlIn0.tiPuSChDI25hHZcijXP90uTO7qzIAyOWr1WmXWJAJHA"] []
[2018-05-17 06:04:43] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:05:27] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:05:58] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:06:41] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:06:59] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:07:42] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:09:11] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:10:00] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:10:21] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:11:08] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:12:18] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:13:47] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:13:57] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:14:44] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:15:37] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:15:40] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:15:43] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:38:33] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:38:38] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:38:59] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:39:34] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:39:59] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:40:51] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:41:11] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:41:15] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:41:36] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:42:21] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:42:31] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:42:56] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:43:54] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:45:39] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:46:08] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:46:11] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:46:39] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:47:14] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:47:34] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:48:16] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:48:32] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:48:51] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:49:18] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:50:19] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:53:53] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:54:02] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:54:18] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:54:47] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:55:40] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:56:15] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:56:46] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:57:08] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:57:41] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:58:13] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:59:27] slim.DEBUG: Using token from environment [] []
[2018-05-17 06:59:44] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:00:41] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:01:17] slim.WARNING: Token not found [] []
[2018-05-17 07:01:24] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:03:13] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:03:28] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:04:05] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:04:18] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:04:20] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:04:45] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:05:00] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:09:23] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:09:33] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:10:05] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:10:16] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:10:42] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:11:09] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:11:51] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:12:42] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:13:00] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:13:31] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:13:41] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:13:54] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:14:10] slim.DEBUG: Using token from environment [] []
[2018-05-17 07:14:26] slim.DEBUG: Using token from environment [] []
